"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Brayan Pena","Reds","88","291","274","70","13","1","4","21","26","12","31","1","1","2",".255",".286",".354",".640",".282","-1.0","-0.8","0.5","3231"
"Marc Krauss","Astros","122","455","402","81","19","1","11","45","49","45","134","3","3","2",".201",".284",".336",".620",".279","-3.0","-0.5","-0.7","7577"
"Efren Navarro","Angels","139","544","500","120","26","2","5","52","48","38","97","2","4","3",".240",".295",".330",".625",".279","2.0","-0.8","-0.3","9854"
"Chris Valaika","Cubs","115","424","391","91","18","1","8","41","41","21","88","6","2","2",".233",".280",".345",".625",".278","0.0","-0.7","0.0","1165"
"Brad Snyder","Rangers","110","407","378","80","16","2","13","43","42","25","145","1","5","5",".212",".260",".368",".628",".277","-3.0","-1.2","-1.0","6052"
"Alex Liddi","Mariners","117","463","429","92","18","2","13","53","48","27","163","3","6","4",".214",".265",".357",".621",".276","-3.0","-0.6","-0.1","5411"
"Jack Hannahan","Reds","69","181","162","36","7","1","2","15","15","16","43","1","0","1",".222",".294",".315",".609",".274","0.0","-0.5","-0.1","3692"
"Ian Stewart","Angels","65","232","208","39","8","3","6","22","21","20","73","3","1","1",".188",".267",".341",".609",".272","-3.0","-0.3","-0.4","5950"
"Blake Lalli","Brewers","100","342","321","75","15","1","5","33","30","17","76","1","0","1",".234",".273",".333",".606",".269","-3.0","-0.6","-0.1","9246"
"Greg Dobbs","Nationals","92","232","216","52","9","0","3","18","23","11","42","2","1","1",".241",".280",".324",".604",".264","-4.0","-0.4","-1.2","2158"
"Ryan Wheeler","Rockies","137","493","458","104","19","1","8","41","50","25","125","2","2","2",".227",".266",".325",".592",".262","-4.0","-0.7","-0.4","9312"
"Alex Gonzalez","Tigers","20","59","57","11","1","1","0","6","5","2","12","0","0","0",".193",".220",".246",".466",".209","-2.0","0.0","-0.5","520"
