"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Reid Brignac","Phillies","92","303","274","59","12","2","4","27","26","22","72","1","2","2",".215",".274",".318",".592",".265","1.0","-0.6","-0.2","8380"
"Pete Orr","Phillies","107","361","342","81","14","4","3","34","31","12","78","3","8","4",".237",".268",".327",".596",".265","0.0","-0.2","-0.4","2748"
"Jayson Nix","Royals","92","301","272","58","12","1","4","28","25","19","74","4","7","3",".213",".273",".309",".582",".263","-2.0","0.0","-0.4","3790"
"Ryan Wheeler","Rockies","137","493","458","104","19","1","8","41","50","25","125","2","2","2",".227",".266",".325",".592",".262","-4.0","-0.7","-0.4","9312"
"Jeff Bianchi","Brewers","97","321","299","69","13","1","3","28","28","16","71","1","6","3",".231",".270",".311",".581",".260","0.0","-0.2","-0.1","9958"
"Andres Blanco","Phillies","79","259","238","54","10","0","3","24","16","14","47","2","3","5",".227",".275",".307",".581",".259","1.0","-1.5","-0.1","1907"
"Ed Lucas","Marlins","110","405","375","83","12","0","5","42","27","22","100","3","2","1",".221",".269",".293",".562",".253","0.0","-0.3","-0.8","7532"
"Nick Noonan","Giants","118","440","410","89","16","1","4","42","33","24","116","2","4","3",".217",".263",".290",".553",".248","3.0","-0.7","-0.2","6880"
"Guilder Rodriguez","Rangers","98","392","358","82","7","1","0","33","19","27","61","0","10","7",".229",".282",".254",".537",".247","-1.0","-1.0","-0.8","3412"
"Paul Janish","Braves","108","344","318","67","14","1","2","28","22","19","65","3","1","2",".211",".260",".280",".540",".245","1.0","-0.8","-0.4","7412"
"John McDonald","Angels","75","92","80","15","2","0","0","7","6","6","18","2","1","1",".188",".258",".213",".471",".222","2.0","-0.3","-0.1","395"
"Alex Gonzalez","Tigers","20","59","57","11","1","1","0","6","5","2","12","0","0","0",".193",".220",".246",".466",".209","-2.0","0.0","-0.5","520"
